Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,8,0
96,149,65,51,64,148,89,3,0.005
96,149,65,51,64,148,89,3,0.01
96,149,65,51,64,148,89,3,0.015
95,149,65,51,64,148,89,3,0.02
95,149,65,51,64,148,89,3,0.025
95,149,65,51,64,148,89,3,0.030000000000000002
95,149,65,51,64,148,89,3,0.035
95,149,65,51,64,148,89,3,0.04
95,149,65,51,64,148,89,3,0.045
95,149,65,51,64,148,89,3,0.049999999999999996
96,149,64,51,64,148,89,3,0.05499999999999999
96,149,64,51,64,148,89,3,0.05999999999999999
96,149,65,51,64,148,89,3,0.06499999999999999
94,149,65,51,64,148,89,3,0.06999999999999999
94,149,65,51,64,148,89,3,0.075
94,149,65,51,63,148,89,3,0.08
94,149,65,51,65,148,89,3,0.085
94,148,65,51,65,148,89,3,0.09000000000000001
95,149,66,51,65,148,89,3,0.09500000000000001
94,149,66,51,64,148,91,3,0.10000000000000002
94,149,66,51,64,148,90,3,0.10500000000000002
94,149,66,51,64,148,90,3,0.11000000000000003
94,149,65,51,64,148,90,3,0.11500000000000003
