Current_State,Action,New_State,Reward,Terminated
"[52, 115, 148, 42, 49, 149, 89, 47]",UP_LEFT,"[53, 116, 148, 43, 50, 149, 90, 48]",65.7649999999999,False
"[83, 149, 43, 26, 30, 148, 130, 66]",UP_LEFT,"[84, 149, 44, 27, 31, 148, 131, 67]",135.1350000000044,False
"[77, 149, 58, 50, 100, 141, 48, 43]",RIGHT,"[78, 149, 60, 51, 102, 142, 49, 44]",11.696000000000009,False
"[48, 86, 148, 54, 71, 148, 64, 42]",DOWN_RIGHT,"[50, 87, 148, 55, 72, 148, 64, 43]",-3.03,False
"[77, 149, 58, 50, 100, 141, 48, 43]",RIGHT,"[78, 149, 60, 51, 102, 142, 49, 44]",11.696000000000009,False
"[59, 92, 148, 148, 82, 62, 64, 63]",UP_RIGHT,"[60, 93, 148, 148, 83, 63, 65, 64]",21.97549999999999,False
"[67, 150, 72, 46, 148, 100, 59, 49]",UP_RIGHT,"[67, 150, 73, 48, 148, 101, 60, 50]",55.964499999999454,False
"[71, 149, 65, 44, 72, 125, 69, 53]",IDLE,"[72, 149, 66, 82, 73, 125, 71, 53]",21.76199999999981,False
"[49, 91, 149, 54, 80, 148, 57, 41]",DOWN_RIGHT,"[50, 92, 149, 55, 81, 148, 58, 42]",-3.0,False
"[77, 150, 42, 28, 37, 147, 84, 58]",UP_LEFT,"[79, 150, 43, 29, 38, 147, 85, 59]",34.7549999999998,False
"[56, 104, 148, 49, 56, 148, 84, 49]",DOWN_LEFT,"[57, 105, 148, 50, 58, 148, 86, 50]",-3.0,False
"[77, 149, 58, 50, 100, 141, 48, 43]",RIGHT,"[78, 149, 60, 51, 102, 142, 49, 44]",11.696000000000009,False
"[106, 127, 57, 45, 58, 148, 73, 46]",IDLE,"[107, 128, 58, 46, 59, 148, 75, 47]",-10.0,False
"[55, 103, 149, 49, 57, 148, 85, 49]",DOWN,"[56, 104, 149, 50, 58, 148, 85, 50]",-3.03,False
"[71, 149, 65, 44, 72, 125, 69, 53]",RIGHT,"[72, 149, 66, 82, 73, 125, 71, 53]",31.76199999999981,False
"[73, 149, 67, 39, 149, 128, 77, 59]",UP,"[74, 149, 68, 40, 149, 129, 78, 60]",42.52499999999967,False
"[66, 101, 149, 43, 55, 119, 148, 53]",DOWN_LEFT,"[67, 102, 149, 45, 56, 119, 148, 55]",884.9354999999086,False
"[71, 149, 65, 44, 72, 125, 69, 53]",IDLE,"[72, 149, 66, 82, 73, 125, 71, 53]",21.76199999999981,False
"[68, 149, 68, 53, 93, 148, 52, 42]",DOWN,"[69, 149, 69, 55, 94, 148, 53, 43]",-2.08349999999995,False
"[71, 148, 70, 48, 148, 88, 55, 52]",DOWN_RIGHT,"[72, 148, 71, 49, 148, 89, 56, 53]",-3.03,False
"[94, 117, 129, 27, 47, 148, 85, 69]",UP_RIGHT,"[95, 118, 130, 28, 48, 148, 86, 70]",42.10499999999968,False
"[77, 150, 42, 28, 37, 147, 84, 58]",UP_LEFT,"[79, 150, 43, 29, 38, 147, 85, 59]",34.7549999999998,False
"[40, 148, 114, 62, 149, 121, 57, 35]",UP,"[41, 148, 114, 63, 149, 122, 58, 36]",100.62500000000216,False
"[55, 146, 103, 52, 63, 148, 76, 47]",UP,"[56, 147, 104, 53, 63, 148, 78, 48]",155.99500000000577,False
"[59, 149, 72, 51, 76, 148, 56, 41]",UP_LEFT,"[61, 149, 73, 52, 77, 148, 56, 42]",163.98850000000635,False
"[101, 149, 57, 48, 148, 98, 59, 49]",UP_LEFT,"[103, 149, 59, 49, 148, 99, 60, 50]",5.8930000000000025,False
"[65, 149, 67, 59, 134, 108, 39, 34]",LEFT,"[67, 149, 68, 60, 137, 109, 39, 35]",14.993500000000006,False
"[77, 149, 58, 50, 100, 141, 48, 43]",RIGHT,"[78, 149, 60, 51, 102, 142, 49, 44]",11.696000000000009,False
"[149, 82, 54, 48, 56, 111, 149, 53]",IDLE,"[149, 83, 55, 49, 57, 112, 149, 54]",-10.0,False
"[59, 149, 79, 48, 62, 148, 70, 46]",UP_LEFT,"[61, 149, 80, 49, 63, 148, 71, 48]",166.49500000000643,False
"[77, 149, 58, 50, 100, 141, 48, 43]",RIGHT,"[78, 149, 60, 51, 102, 142, 49, 44]",11.696000000000009,False
"[70, 148, 69, 55, 148, 81, 50, 49]",DOWN_RIGHT,"[71, 148, 70, 57, 148, 81, 51, 51]",-3.0,False
"[44, 149, 85, 73, 148, 90, 29, 25]",UP_RIGHT,"[45, 149, 87, 74, 148, 91, 29, 26]",29.29499999999988,False
"[57, 137, 70, 42, 64, 148, 58, 43]",IDLE,"[57, 138, 71, 43, 65, 148, 59, 44]",-10.0,False
"[64, 149, 75, 50, 127, 128, 58, 47]",RIGHT,"[65, 149, 76, 50, 131, 129, 59, 48]",30.236999999999963,False
"[71, 149, 65, 44, 72, 125, 69, 53]",IDLE,"[72, 149, 66, 82, 73, 125, 71, 53]",21.76199999999981,False
"[90, 148, 41, 24, 27, 45, 108, 148]",UP_LEFT,"[91, 148, 42, 58, 57, 46, 109, 148]",267.37849999999503,False
"[47, 84, 149, 55, 68, 148, 67, 42]",DOWN_RIGHT,"[48, 85, 149, 56, 70, 148, 69, 43]",-3.0,False
"[64, 149, 75, 50, 127, 128, 58, 47]",RIGHT,"[65, 149, 76, 50, 131, 129, 59, 48]",30.236999999999963,False
"[77, 149, 58, 49, 97, 144, 49, 44]",IDLE,"[78, 149, 58, 50, 98, 145, 51, 45]",1.5330000000000066,False
"[83, 149, 43, 26, 30, 148, 130, 66]",UP_LEFT,"[84, 149, 44, 27, 31, 148, 131, 67]",135.1350000000044,False
"[68, 149, 65, 37, 45, 148, 89, 55]",LEFT,"[69, 149, 66, 37, 46, 148, 90, 56]",9.289500000000006,False
"[77, 149, 58, 50, 100, 141, 48, 43]",RIGHT,"[78, 149, 60, 51, 102, 142, 49, 44]",11.696000000000009,False
"[73, 148, 54, 148, 122, 69, 56, 56]",UP,"[75, 148, 55, 148, 124, 70, 56, 57]",145.08850000000513,False
"[57, 137, 70, 42, 64, 148, 58, 43]",IDLE,"[57, 138, 71, 43, 65, 148, 59, 44]",-10.0,False
"[57, 149, 65, 45, 51, 127, 92, 42]",UP_LEFT,"[57, 149, 66, 46, 52, 128, 93, 43]",169.51450000000665,False
"[51, 148, 93, 49, 56, 148, 74, 44]",UP_RIGHT,"[52, 148, 95, 50, 57, 148, 75, 45]",335.3444999999774,False
"[65, 149, 67, 59, 134, 108, 39, 34]",LEFT,"[67, 149, 68, 60, 137, 109, 39, 35]",14.993500000000006,False
"[71, 149, 65, 44, 72, 125, 69, 53]",RIGHT,"[72, 149, 66, 82, 73, 125, 71, 53]",31.76199999999981,False
"[60, 149, 84, 48, 148, 126, 65, 47]",UP_RIGHT,"[61, 149, 85, 49, 148, 127, 65, 48]",14.875000000000016,False
"[67, 132, 80, 46, 69, 148, 65, 49]",DOWN_LEFT,"[68, 133, 148, 47, 70, 148, 67, 50]",-3.03,False
"[54, 118, 146, 49, 125, 131, 64, 47]",UP,"[55, 119, 148, 50, 129, 132, 65, 48]",172.847000000007,False
"[91, 148, 49, 37, 52, 149, 89, 60]",UP_LEFT,"[92, 148, 50, 37, 54, 149, 89, 62]",92.43500000000164,False
"[73, 113, 149, 43, 59, 145, 97, 54]",DOWN_LEFT,"[74, 114, 149, 44, 60, 146, 98, 55]",884.8879999999085,False
"[31, 130, 149, 53, 68, 148, 37, 23]",UP_RIGHT,"[31, 131, 149, 55, 68, 148, 37, 23]",41.40499999999969,False
"[65, 149, 67, 59, 134, 108, 39, 34]",LEFT,"[67, 149, 68, 60, 137, 109, 39, 35]",14.993500000000006,False
"[60, 149, 78, 54, 74, 148, 61, 42]",UP_LEFT,"[61, 149, 79, 55, 75, 148, 62, 43]",368.22049999996943,False
"[75, 149, 63, 45, 78, 130, 65, 51]",IDLE,"[76, 149, 64, 46, 80, 130, 66, 53]",22.759999999999813,False
"[57, 137, 70, 42, 64, 148, 58, 43]",IDLE,"[57, 138, 71, 43, 65, 148, 59, 44]",-10.0,False
"[70, 149, 68, 55, 148, 112, 48, 44]",RIGHT,"[71, 149, 69, 56, 148, 113, 49, 46]",33.64349999999994,False
"[51, 149, 80, 67, 129, 119, 35, 29]",DOWN,"[52, 149, 82, 68, 130, 120, 36, 31]",5.566500000000005,False
"[59, 102, 148, 43, 84, 144, 52, 43]",UP_RIGHT,"[60, 103, 148, 45, 85, 145, 53, 43]",277.8649999999922,False
"[55, 106, 148, 54, 112, 139, 49, 41]",DOWN_RIGHT,"[56, 107, 148, 55, 113, 140, 51, 42]",-3.0,False
"[58, 149, 76, 63, 119, 135, 39, 34]",RIGHT,"[59, 149, 77, 64, 119, 136, 40, 35]",12.033500000000007,False
"[67, 103, 149, 43, 54, 122, 142, 53]",DOWN_LEFT,"[68, 104, 149, 45, 55, 123, 143, 55]",884.9329999999087,False
"[57, 137, 70, 42, 64, 148, 58, 43]",IDLE,"[57, 138, 71, 43, 65, 148, 59, 44]",-10.0,False
"[71, 141, 64, 46, 76, 149, 62, 49]",DOWN,"[71, 142, 65, 47, 77, 149, 63, 50]",-3.03,False
"[54, 102, 148, 54, 102, 148, 50, 41]",DOWN_RIGHT,"[54, 102, 148, 55, 102, 148, 52, 42]",-3.0,False
"[53, 148, 71, 48, 63, 150, 62, 40]",UP_LEFT,"[54, 148, 72, 49, 64, 150, 63, 41]",235.37500000000327,False
"[52, 72, 120, 148, 58, 126, 148, 49]",RIGHT,"[53, 73, 121, 148, 59, 128, 148, 49]",884.5889999999087,False
"[71, 110, 149, 43, 57, 137, 108, 53]",DOWN_LEFT,"[72, 111, 149, 44, 58, 138, 109, 54]",884.9074999999086,False
