Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
86,133,56,43,56,148,69,3.0,0.02
85,135,55,43,57,148,69,3.0,0.145
75,144,57,43,55,148,72,3.0,0.3200000000000002
65,149,60,43,53,148,77,3.0,0.4650000000000003
74,136,56,43,58,148,64,3.0,0.6300000000000004
65,149,59,42,56,149,69,3.0,0.7
63,148,60,41,54,148,72,3.0,0.7
64,149,59,38,50,148,77,3.0,0.7
78,149,51,40,61,148,61,3.0,0.7
72,148,54,41,65,149,59,3.0,0.7
70,149,56,43,67,148,57,3.0,0.7
65,148,57,45,71,149,54,3.0,0.7
53,149,70,46,60,148,64,3.0,0.7
57,148,68,43,56,148,66,3.0,0.7
60,148,64,42,56,136,66,3.0,0.7
57,149,74,41,141,123,76,3.0,0.7
62,149,65,36,118,100,72,3.0,0.7
63,149,71,148,104,81,69,4.0,0.7
67,149,61,148,86,65,59,3.0,0.7
74,149,65,148,61,45,45,8.0,0.6499999999999999
79,149,97,140,40,29,30,2.0,0.3399999999999996
78,149,109,126,33,24,24,2.0,0.0399999999999994
78,149,102,133,36,26,27,2.0,-0.1550000000000006
78,149,90,148,45,32,33,2.0,-0.2950000000000007
76,149,76,148,54,39,39,2.0,-0.3
75,149,63,148,63,46,45,3.0,-0.1549999999999998
75,149,62,148,64,46,46,4.0,0.0700000000000002
73,149,66,148,61,43,45,8.0,0.0350000000000002
73,149,66,148,61,43,42,4.0,0.0700000000000002
71,146,66,148,58,39,38,4.0,0.2300000000000003
71,149,74,148,52,34,34,2.0,0.1050000000000002
72,149,71,148,54,35,34,2.0,-0.1149999999999998
71,146,65,148,59,39,38,2.0,-0.1799999999999998
69,138,64,148,71,47,44,2.0,-0.3
64,129,81,148,82,56,52,2.0,-0.3
62,122,98,148,92,63,57,8.0,-0.1949999999999999
62,119,101,148,96,66,57,3.0,0.0250000000000002
62,114,117,148,96,64,57,4.0,0.1850000000000003
65,119,107,148,85,54,49,4.0,0.3700000000000004
63,102,149,148,88,42,36,4.0,0.5350000000000006
55,98,149,113,119,30,23,4.0,0.7000000000000007
65,108,149,105,138,32,23,8.0,0.6649999999999999
93,135,68,122,110,30,23,2.0,0.0649999999999993
93,134,66,119,114,31,23,2.0,-0.1050000000000006
92,128,61,109,131,37,28,2.0,-0.2700000000000007
90,119,54,93,148,45,34,2.0,-0.3
87,110,149,78,148,55,40,2.0,-0.3
83,101,149,63,148,65,47,2.0,-0.3
78,92,149,52,148,73,53,2.0,-0.3
73,84,149,42,148,80,58,3.0,-0.1799999999999998
72,84,149,40,148,82,59,4.0,0.0550000000000002
73,84,149,42,148,81,59,4.0,0.0550000000000002
76,85,149,43,148,82,56,4.0,0.2000000000000003
77,91,141,44,149,84,53,4.0,0.3450000000000004
